1,China,1420062022,9388211
2,India,1368737513,2973190
3,United States,329093110,9147420
4,Indonesia,269536482,1811570
5,Brazil,212392717,8358140
6,Pakistan,204596442,770880
7,Nigeria,200962417,910770
8,Bangladesh,168065920,130170
9,Russia,143895551,16376870
10,Mexico,132328035,1943950
11,Japan,126854745,364555
12,Ethiopia,110135635,1000000
13,Philippines,108106310,298170
14,Egypt,101168745,995450
15,Vietnam,97429061,310070
16,DR Congo,86727573,2267050
17,Turkey,82961805,769630
18,Iran,82820766,1628550
19,Germany,82438639,348560
20,Thailand,69306160,510890
21,United Kingdom,66959016,241930
22,France,65480710,547557
23,Tanzania,60913557,885800
24,Italy,59216525,294140
25,South Africa,58065097,1213090
26,Myanmar,54336138,653290
27,Kenya,52214791,569140
28,South Korea,51339238,97230
29,Colombia,49849818,1109500
30,Spain,46441049,498800
31,Uganda,45711874,199810
32,Argentina,45101781,2736690
33,Ukraine,43795220,579320
34,Algeria,42679018,2381740
35,Sudan,42514094,1765048
36,Iraq,40412299,434320
37,Poland,38028278,306230
38,Canada,37279811,9093510
39,Afghanistan,37209007,652860
40,Morocco,36635156,446300
41,Saudi Arabia,34140662,2149690
42,Peru,32933835,1280000
43,Uzbekistan,32807368,425400
44,Venezuela,32779868,882050
45,Malaysia,32454455,328550
46,Angola,31787566,1246700
47,Mozambique,31408823,786380
48,Ghana,30096970,227540
49,Nepal,29942018,143350
50,Yemen,29579986,527970
51,Madagascar,26969642,581795
52,North Korea,25727408,120410
53,C?te d'Ivoire,25531083,318000
54,Cameroon,25312993,472710
55,Australia,25088636,7682300
56,Niger,23176691,1266700
57,Sri Lanka,21018859,62710
58,Burkina Faso,20321560,273600
59,Malawi,19718743,94280
60,Mali,19689140,1220190
61,Romania,19483360,230170
62,Kazakhstan,18592970,2699700
63,Syria,18499181,183630
64,Chile,18336653,743532
65,Zambia,18137369,743390
66,Guatemala,17577842,107160
67,Zimbabwe,17297495,386850
68,Netherlands,17132908,33720
69,Ecuador,17100444,248360
70,Senegal,16743859,192530
71,Cambodia,16482646,176520
72,Chad,15814345,1259200
73,Somalia,15636171,627340
74,Guinea,13398180,245720
75,South Sudan,13263184,610952
76,Rwanda,12794412,24670
77,Benin,11801595,112760
78,Tunisia,11783168,155360
79,Burundi,11575964,25680
80,Belgium,11562784,30280
81,Cuba,11492046,106440
82,Bolivia,11379861,1083300
83,Haiti,11242856,27560
84,Greece,11124603,128900
85,Dominican Republic,10996774,48320
86,Czechia,10630589,77240
87,Portugal,10254666,91590
88,Jordan,10069794,88780
89,Sweden,10053135,410340
90,Azerbaijan,10014575,82658
91,United Arab Emirates,9682088,83600
92,Hungary,9655361,90530
93,Honduras,9568688,111890
94,Belarus,9433874,202910
95,Tajikistan,9292000,139960
96,Austria,8766201,82409
97,Serbia,8733407,87460
98,Switzerland,8608259,39516
99,Papua New Guinea,8586525,452860
100,Israel,8583916,21640
101,Togo,8186384,54390
102,Sierra Leone,7883123,72180
103,Laos,7064242,230800
104,Bulgaria,6988739,108560
105,Paraguay,6981981,397300
106,Libya,6569864,1759540
107,El Salvador,6445405,20720
108,Nicaragua,6351157,120340
109,Kyrgyzstan,6218616,191800
110,Lebanon,6065922,10230
111,Turkmenistan,5942561,469930
112,Singapore,5868104,700
113,Denmark,5775224,42430
114,Finland,5561389,303890
115,Congo,5542197,341500
116,Slovakia,5450987,48088
117,Norway,5400916,365268
118,Eritrea,5309659,101000
119,State of Palestine,5186790,6020
120,Oman,5001875,309500
121,Costa Rica,4999384,51060
122,Liberia,4977720,96320
123,Ireland,4847139,68890
124,Central African Republic,4825711,622980
125,New Zealand,4792409,263310
126,Mauritania,4661149,1030700
